symbol,id,,side,price,qty,realizedPnl,quoteQty,commission,commissionAsset,time,positionSide,maker,buyer
BANANAUSDT,500854,7908661,BUY,25.9450000,1.3,1.44040000,33.72850000,0.00674570,USDT,1753875845110,BOTH,True,True
CUSDT,11299,13683,SELL,0.3260000,611,-1.39586151,199.1860000,0.03983720,USDT,1753876035007,BOTH,True,False
BTCUSDT,379374319,5503885019,BUY,117673.20,0.001,0,117.67320,0.04706928,USDT,1753876767972,BOTH,False,True
BTCUSDT,379374410,5503885394,BUY,117673.20,0.001,0,117.67320,0.04706928,USDT,1753876774260,BOTH,False,True
ICNTUSDT,7419,8422,SELL,0.1983000,344,-60.95680000,68.2152000,0.01364304,USDT,1753877729201,BOTH,True,False
COOKIEUSDT,101415,10554473,SELL,0.1596000,513,-25.34220000,81.8748000,0.01637496,USDT,1753878604434,BOTH,True,False
ICNTUSDT,7420,8422,SELL,0.1983000,756,-133.96320000,149.9148000,0.02998296,USDT,1753878647154,BOTH,True,False
BTCUSDT,379405250,5504074805,SELL,117785.80,0.002,0.22520000,235.57160,0.09422864,USDT,1753878663416,BOTH,False,False
ICNTUSDT,7421,8422,SELL,0.1983000,409,-72.47480000,81.1047000,0.01622094,USDT,1753878666448,BOTH,True,False
WOOUSDT,1135931,24024585,SELL,0.07120,676,-7.63880000,48.13120,0.00962624,USDT,1753880038515,BOTH,True,False
ETHUSDT,176805736,4937329825,BUY,3768.98,0.026,0,97.99348,0.03919739,USDT,1753881498052,BOTH,False,True
CETUSUSDT,284008,5929148,SELL,0.1214700,40,-0.58920000,4.8588000,0.00097176,USDT,1753882184752,BOTH,True,False
BTCUSDT,379453791,5504446705,BUY,117572.20,0.001,0,117.57220,0.04702888,USDT,1753883518105,BOTH,False,True
BTCUSDT,379453792,5504446821,BUY,117572.20,0.001,0,117.57220,0.04702888,USDT,1753883523393,BOTH,False,True
INJUSDT,835756,27513505,SELL,13.6900000,75.5,81.23800000,1033.59500000,0.20671900,USDT,1753885090229,BOTH,True,False
LQTYUSDT,106693,12147339,SELL,1.041300,76.5,-2.19555000,79.6594500,0.01593189,USDT,1753885407131,BOTH,True,False
SYRUPUSDT,4442,26429,SELL,0.4477300,2255,449.89505000,1009.6311500,0.20192623,USDT,1753886383802,BOTH,True,False
SPXUSDT,507931,7391075,SELL,1.9056000,59,8.77671578,112.4304000,0.02248608,USDT,1753887763101,BOTH,True,False
SPXUSDT,507932,7391075,SELL,1.9056000,11,1.63633684,20.9616000,0.00419232,USDT,1753888019198,BOTH,True,False
VICUSDT,43162,1357451,SELL,0.2809000,3351,-202.73550000,941.2959000,0.18825918,USDT,1753889269449,BOTH,True,False
JTOUSDT,563660,11158679,BUY,1.880000,26,2.33610000,48.880000,0.00977600,USDT,1753892287393,BOTH,True,True
CHILLGUYUSDT,110124,2197967,SELL,0.0597000,1004,-12.34920000,59.9388000,0.01198776,USDT,1753897324771,BOTH,True,False
AEROUSDT,116678,2661129,BUY,0.8253000,43.8,0.35916000,36.14814000,0.00722962,USDT,1753898464913,BOTH,True,True
CHILLGUYUSDT,110125,2197967,SELL,0.0597000,1698,-20.88540000,101.3706000,0.02027412,USDT,1753914190818,BOTH,True,False
ALCHUSDT,1461005,15078265,BUY,0.1624600,620,0,100.7252000,0.02014504,USDT,1753918996701,BOTH,True,True
WOOUSDT,1135932,24024585,SELL,0.07120,499,-5.63870000,35.52880,0.00710576,USDT,1753927589388,BOTH,True,False
